
2024/12/10 (22:03:56) | ===> btop++ v.1.4.0
2024/12/10 (22:03:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (22:06:56) | ===> btop++ v.1.4.0
2024/12/10 (22:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (08:18:52) | ===> btop++ v.1.4.0
2024/12/11 (08:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (08:52:28) | ===> btop++ v.1.4.0
2024/12/11 (08:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (09:05:17) | ===> btop++ v.1.4.0
2024/12/11 (09:05:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (09:21:04) | ===> btop++ v.1.4.0
2024/12/11 (09:21:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (09:22:40) | ===> btop++ v.1.4.0
2024/12/11 (09:22:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (10:53:36) | ===> btop++ v.1.4.0
2024/12/11 (10:53:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (18:38:24) | ===> btop++ v.1.4.0
2024/12/11 (18:38:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (09:10:13) | ===> btop++ v.1.4.0
2024/12/12 (09:10:13) | WARNING: Intel GPU: Failed to initialize PMU
